Verb,Tense,Person,English,Kurdish (Latin),Kurdish (Arabic)
Accuse,Present,I,I accuse,ez  'itîham di kem,ئەز ئتیھام د كەم
Accuse,Present,You,You accuse,tu  'itîham di key,تو ئتیھام د كەی
Accuse,Present,He/She,He/She accuses,ew  'itîham di ket,ئەو ئتیھام د كەت
Accuse,Present,We,We accuse,em  'itîham di keyn,ئەم ئتیھام د كەین
Accuse,Present,You (pl.),You accuse,hîn  'itîham di ken,ھین ئتیھام د كەن
Accuse,Present,They,They accuse,ew  'itîham di ken,ئەو ئتیھام د كەن
Accuse,Future,I,I will accuse,ez dê  'itîham kem,ئەز دێ ئتیھام كەم
Accuse,Future,You,You will accuse,tu dê  'itîham key,تو دێ ئتیھام كەی
Accuse,Future,He/She,He/She will accuse,ew dê  'itîham ket,ئەو دێ ئتیھام كەت
Accuse,Future,We,We will accuse,em dê  'itîham keyn,ئەم دێ ئتیھام كەین
Accuse,Future,You (pl.),You will accuse,hîn dê  'itîham ken,ھین دێ ئتیھام كەن
Accuse,Future,They,They will accuse,ew dê  'itîham ken,ئەو دێ ئتیھام كەن
Achieve,Past,I,I achieved,min  dest xo ve îna,من دەست خو ڤە ئینا
Achieve,Past,You,You achieved,te  dest xo ve îna,تە دەست خو ڤە ئینا
Achieve,Past,He/She,He/She achieved,ewî/ewê  dest xo ve îna,ئەوی/ئەوێ دەست خو ڤە ئینا
Achieve,Past,We,We achieved,me  dest xo ve îna,مە دەست خو ڤە ئینا
Achieve,Past,You (pl.),You achieved,hewe  dest xo ve îna,ھەوە دەست خو ڤە ئینا
Achieve,Past,They,They achieved,ewan  dest xo ve îna,ئەوان دەست خو ڤە ئینا
Achieve,Present,I,I achieve,ez  dest xo ve di înim,ئەز دەست خو ڤە د ئینم
Achieve,Present,You,You achieve,tu  dest xo ve di înî,تو دەست خو ڤە د ئینی
Achieve,Present,He/She,He/She achieves,ew  dest xo ve di înit,ئەو دەست خو ڤە د ئینیت
Achieve,Present,We,We achieve,em  dest xo ve di înîn,ئەم دەست خو ڤە د ئینین
Achieve,Present,You (pl.),You achieve,hîn  dest xo ve di înin,ھین دەست خو ڤە د ئینن
Achieve,Present,They,They achieve,ew  dest xo ve di înin,ئەو دەست خو ڤە د ئینن
Achieve,Future,I,I will achieve,ez dê  dest xo ve înim,ئەز دێ دەست خو ڤە ئینم
Achieve,Future,You,You will achieve,tu dê  dest xo ve înî,تو دێ دەست خو ڤە ئینی
Achieve,Future,He/She,He/She will achieve,ew dê  dest xo ve înit,ئەو دێ دەست خو ڤە ئینیت
Achieve,Future,We,We will achieve,em dê  dest xo ve înîn,ئەم دێ دەست خو ڤە ئینین
Achieve,Future,You (pl.),You will achieve,hîn dê  dest xo ve înin,ھین دێ دەست خو ڤە ئینن
Achieve,Future,They,They will achieve,ew dê  dest xo ve înin,ئەو دێ دەست خو ڤە ئینن
Add,Past,I,I added,min  kum kir,من كوم كر
Add,Past,You,You added,te  kum kir,تە كوم كر
Add,Past,He/She,He/She added,ewî/ewê  kum kir,ئەوی/ئەوێ كوم كر
Add,Past,We,We added,me  kum kir,مە كوم كر
Add,Past,You (pl.),You added,hewe  kum kir,ھەوە كوم كر
Add,Past,They,They added,ewan  kum kir,ئەوان كوم كر
Add,Present,I,I add,ez  kum di kem,ئەز كوم د كەم
Add,Present,You,You add,tu  kum di key,تو كوم د كەی
Add,Present,He/She,He/She adds,ew  kum di ket,ئەو كوم د كەت
Add,Present,We,We add,em  kum di keyn,ئەم كوم د كەین
Add,Present,You (pl.),You add,hîn  kum di ken,ھین كوم د كەن
Add,Present,They,They add,ew  kum di ken,ئەو كوم د كەن
Add,Future,I,I will add,ez dê  kum kem,ئەز دێ كوم كەم
Add,Future,You,You will add,tu dê  kum key,تو دێ كوم كەی
Add,Future,He/She,He/She will add,ew dê  kum ket,ئەو دێ كوم كەت
Add,Future,We,We will add,em dê  kum keyn,ئەم دێ كوم كەین
Add,Future,You (pl.),You will add,hîn dê  kum ken,ھین دێ كوم كەن
Add,Future,They,They will add,ew dê  kum ken,ئەو دێ كوم كەن
Advance,Past,I,I advanced,ez terşiḧ bum,ئەز تەرشح بوم
Advance,Past,You,You advanced,tu terşiḧ buî,تو تەرشح بوی
Advance,Past,He/She,He/She advanced,ew terşiḧ bu,ئەو تەرشح بو
Advance,Past,We,We advanced,em terşiḧ buîn,ئەم تەرشح بوین
Advance,Past,You (pl.),You advanced,hîn terşiḧ bun,ھین تەرشح بون
Advance,Past,They,They advanced,ew terşiḧ bun,ئەو تەرشح بون
Advance,Present,I,I advance,ez terşiḧ di bim,ئەز تەرشح د بم
Advance,Present,You,You advance,tu terşiḧ di bî,تو تەرشح د بی
Advance,Present,He/She,He/She advances,ew terşiḧ di bit,ئەو تەرشح د بیت
Advance,Present,We,We advance,em terşiḧ di bîn,ئەم تەرشح د بین
Advance,Present,You (pl.),You advance,hîn terşiḧ di bin,ھین تەرشح د بن
Advance,Present,They,They advance,ew terşiḧ di bin,ئەو تەرشح د بن
Advance,Future,I,I will advance,ez dê terşiḧ bim,ئەز دێ تەرشح بم
Advance,Future,You,You will advance,tu dê terşiḧ bî,تو دێ تەرشح بی
Advance,Future,He/She,He/She will advance,ew dê terşiḧ bit,ئەو دێ تەرشح بیت
Advance,Future,We,We will advance,em dê terşiḧ bîn,ئەم دێ تەرشح بین
Advance,Future,You (pl.),You will advance,hîn dê terşiḧ bin,ھین دێ تەرشح بن
Advance,Future,They,They will advance,ew dê terşiḧ bin,ئەو دێ تەرشح بن
Advise,Past,I,I advised, ez nesîḧet kirim,ئەز نەسیحەت كرم
Advise,Past,You,You advised, tu nesîḧet kirî,تو نەسیحەت كری
Advise,Past,He/She,He/She advised, ew nesîḧet kir,ئەو نەسیحەت كر
Advise,Past,We,We advised, em nesîḧet kirîn,ئەم نەسیحەت كرین
Advise,Past,You (pl.),You advised, hîn nesîḧet kirin,ھین نەسیحەت كرن
Advise,Past,They,They advised, ew nesîḧet kirin,ئەو نەسیحەت كرن
Advise,Present,I,I advise,ez  nesîḧet di kem,ئەز نەسیحەت د كەم
Advise,Present,You,You advise,tu  nesîḧet di key,تو نەسیحەت د كەی
Advise,Present,He/She,He/She advises,ew  nesîḧet di ket,ئەو نەسیحەت د كەت
Advise,Present,We,We advise,em  nesîḧet di keyn,ئەم نەسیحەت د كەین
Advise,Present,You (pl.),You advise,hîn  nesîḧet di ken,ھین نەسیحەت د كەن
Advise,Present,They,They advise,ew  nesîḧet di ken,ئەو نەسیحەت د كەن
Advise,Future,I,I will advise,ez dê  nesîḧet kem,ئەز دێ نەسیحەت كەم
Advise,Future,You,You will advise,tu dê  nesîḧet key,تو دێ نەسیحەت كەی
Advise,Future,He/She,He/She will advise,ew dê  nesîḧet ket,ئەو دێ نەسیحەت كەت
Advise,Future,We,We will advise,em dê  nesîḧet keyn,ئەم دێ نەسیحەت كەین
Advise,Future,You (pl.),You will advise,hîn dê  nesîḧet ken,ھین دێ نەسیحەت كەن
Advise,Future,They,They will advise,ew dê  nesîḧet ken,ئەو دێ نەسیحەت كەن
Alarm,Past,I,I alarmed,min înthar da ,من ئینتھار دا
Alarm,Past,You,You alarmed,te înthar da ,تە ئینتھار دا
Alarm,Past,He/She,He/She alarmed,ewî/ewê înthar da ,ئەوی/ئەوێ ئینتھار دا
Alarm,Past,We,We alarmed,me înthar da ,مە ئینتھار دا
Alarm,Past,You (pl.),You alarmed,hewe înthar da ,ھەوە ئینتھار دا
Alarm,Past,They,They alarmed,ewan înthar da ,ئەوان ئینتھار دا
Alarm,Present,I,I alarm,ez înthar di dem(e OW),ئەز ئینتھار د دەم
Alarm,Present,You,You alarm,tu înthar di dey(e OW),تو ئینتھار د دەی
Alarm,Present,He/She,He/She alarms,ew înthar di det(e OW),ئەو ئینتھار د دەت
Alarm,Present,We,We alarm,em înthar di deyn(e OW),ئەم ئینتھار د دەین
Alarm,Present,You (pl.),You alarm,hîn înthar di den(e OW),ھین ئینتھار د دەن
Alarm,Present,They,They alarm,ew înthar di den(e OW),ئەو ئینتھار د دەن
Alarm,Future,I,I will alarm,ez dê înthar dem(e OW),ئەز دێ ئینتھار دەم
Alarm,Future,You,You will alarm,tu dê înthar dey(e OW),تو دێ ئینتھار دەی
Alarm,Future,He/She,He/She will alarm,ew dê înthar det(e OW),ئەو دێ ئینتھار دەت
Alarm,Future,We,We will alarm,em dê înthar deyn(e OW),ئەم دێ ئینتھار دەین
Alarm,Future,You (pl.),You will alarm,hîn dê înthar den(e OW),ھین دێ ئینتھار دەن
Alarm,Future,They,They will alarm,ew dê înthar den(e OW),ئەو دێ ئینتھار دەن
Allow,Past,I,I allowed, ez hêlam,ئەز ھێلام
Allow,Past,You,You allowed, tu hêlay,تو ھێلای
Allow,Past,He/She,He/She allowed, ew hêla,ئەو ھێلا
Allow,Past,We,We allowed, em helayn,ئەم ھەلاین
Allow,Past,You (pl.),You allowed, hîn hêlan,ھین ھێلان
Allow,Past,They,They allowed, ew hêlan,ئەو ھێلان
Allow,Present,I,I allow,ez  di hêlim,ئەز د ھێلم
Allow,Present,You,You allow,tu  di hêlî,تو د ھێلی
Allow,Present,He/She,He/She allows,ew  di hêlit,ئەو د ھێلیت
Allow,Present,We,We allow,em  di hêlîn,ئەم د ھێلین
Allow,Present,You (pl.),You allow,hîn  di hêlin,ھین د ھێلن
Allow,Present,They,They allow,ew  di hêlin,ئەو د ھێلن
Allow,Future,I,I will allow,ez dê  hêlim,ئەز دێ ھێلم
Allow,Future,You,You will allow,tu dê  hêlî,تو دێ ھێلی
Allow,Future,He/She,He/She will allow,ew dê  hêlit,ئەو دێ ھێلیت
Allow,Future,We,We will allow,em dê  hêlîn,ئەم دێ ھێلین
Allow,Future,You (pl.),You will allow,hîn dê  hêlin,ھین دێ ھێلن
Allow,Future,They,They will allow,ew dê  hêlin,ئەو دێ ھێلن
Annoy,Past,I,I annoyed,min 'îz'acê  kir,من ئیزعاجێ كر
Annoy,Past,You,You annoyed,te 'îz'acê  kir,تە ئیزعاجێ كر
Annoy,Past,He/She,He/She annoyed,ewî/ewê 'îz'acê  kir,ئەوی/ئەوێ ئیزعاجێ كر
Annoy,Past,We,We annoyed,me 'îz'acê  kir,مە ئیزعاجێ كر
Annoy,Past,You (pl.),You annoyed,hewe 'îz'acê  kir,ھەوە ئیزعاجێ كر
Annoy,Past,They,They annoyed,ewan 'îz'acê  kir,ئەوان ئیزعاجێ كر
Annoy,Present,I,I annoy,ez 'îz'acê  di kem,ئەز ئیزعاجێ د كەم
Annoy,Present,You,You annoy,tu 'îz'acê  di key,تو ئیزعاجێ د كەی
Annoy,Present,He/She,He/She annoys,ew 'îz'acê  di ket,ئەو ئیزعاجێ د كەت
Annoy,Present,We,We annoy,em 'îz'acê  di keyn,ئەم ئیزعاجێ د كەین
Annoy,Present,You (pl.),You annoy,hîn 'îz'acê  di ken,ھین ئیزعاجێ د كەن
Annoy,Present,They,They annoy,ew 'îz'acê  di ken,ئەو ئیزعاجێ د كەن
Annoy,Future,I,I will annoy,ez dê 'îz'acê  kem,ئەز دێ ئیزعاجێ كەم
Annoy,Future,You,You will annoy,tu dê 'îz'acê  key,تو دێ ئیزعاجێ كەی
Annoy,Future,He/She,He/She will annoy,ew dê 'îz'acê  ket,ئەو دێ ئیزعاجێ كەت
Annoy,Future,We,We will annoy,em dê 'îz'acê  keyn,ئەم دێ ئیزعاجێ كەین
Annoy,Future,You (pl.),You will annoy,hîn dê 'îz'acê  ken,ھین دێ ئیزعاجێ كەن
Annoy,Future,They,They will annoy,ew dê 'îz'acê  ken,ئەو دێ ئیزعاجێ كەن
Answer,Past,I,I answered,min caba  da,من جابا دا
Answer,Past,You,You answered,te caba  da,تە جابا دا
Answer,Past,He/She,He/She answered,ewî/ewê caba  da,ئەوی/ئەوێ جابا دا
Answer,Past,We,We answered,me caba  da,مە جابا دا
Answer,Past,You (pl.),You answered,hewe caba  da,ھەوە جابا دا
Answer,Past,They,They answered,ewan caba  da,ئەوان جابا دا
Answer,Present,I,I answer,ez caba di dem(e OW),ئەز جابا د دەم
Answer,Present,You,You answer,tu caba di dey(e OW),تو جابا د دەی
Answer,Present,He/She,He/She answers,ew caba di det(e OW),ئەو جابا د دەت
Answer,Present,We,We answer,em caba di deyn(e OW),ئەم جابا د دەین
Answer,Present,You (pl.),You answer,hîn caba di den(e OW),ھین جابا د دەن
Answer,Present,They,They answer,ew caba di den(e OW),ئەو جابا د دەن
Answer,Future,I,I will answer,ez dê caba dem(e OW),ئەز دێ جابا دەم
Answer,Future,You,You will answer,tu dê caba dey(e OW),تو دێ جابا دەی
Answer,Future,He/She,He/She will answer,ew dê caba det(e OW),ئەو دێ جابا دەت
Answer,Future,We,We will answer,em dê caba deyn(e OW),ئەم دێ جابا دەین
Answer,Future,You (pl.),You will answer,hîn dê caba den(e OW),ھین دێ جابا دەن
Answer,Future,They,They will answer,ew dê caba den(e OW),ئەو دێ جابا دەن
Apply,Past,I,I applied,min teqdîm kir,من تەقدیم كر
Apply,Past,You,You applied,te teqdîm kir,تە تەقدیم كر
Apply,Past,He/She,He/She applied,ewî/ewê teqdîm kir,ئەوی/ئەوێ تەقدیم كر
Apply,Past,We,We applied,me teqdîm kir,مە تەقدیم كر
Apply,Past,You (pl.),You applied,hewe teqdîm kir,ھەوە تەقدیم كر
Apply,Past,They,They applied,ewan teqdîm kir,ئەوان تەقدیم كر
Apply,Present,I,I apply,ez teqdîm di kem,ئەز تەقدیم د كەم
Apply,Present,You,You apply,tu teqdîm di key,تو تەقدیم د كەی
Apply,Present,He/She,He/She applies,ew teqdîm di ket,ئەو تەقدیم د كەت
Apply,Present,We,We apply,em teqdîm di keyn,ئەم تەقدیم د كەین
Apply,Present,You (pl.),You apply,hîn teqdîm di ken,ھین تەقدیم د كەن
Apply,Present,They,They apply,ew teqdîm di ken,ئەو تەقدیم د كەن
Apply,Future,I,I will apply,ez dê teqdîm kem,ئەز دێ تەقدیم كەم
Apply,Future,You,You will apply,tu dê teqdîm key,تو دێ تەقدیم كەی
Apply,Future,He/She,He/She will apply,ew dê teqdîm ket,ئەو دێ تەقدیم كەت
Apply,Future,We,We will apply,em dê teqdîm keyn,ئەم دێ تەقدیم كەین
Apply,Future,You (pl.),You will apply,hîn dê teqdîm ken,ھین دێ تەقدیم كەن
Apply,Future,They,They will apply,ew dê teqdîm ken,ئەو دێ تەقدیم كەن
Apply Changes,Past,I,I applied changes,min cêbacê kirin,من جێباجێ كرن
Apply Changes,Past,You,You applied changes,te cêbacê kirin,تە جێباجێ كرن
Apply Changes,Past,He/She,He/She applied changes,ewî/ewê cêbacê kirin,ئەوی/ئەوێ جێباجێ كرن
Apply Changes,Past,We,We applied changes,me cêbacê kirin,مە جێباجێ كرن
Apply Changes,Past,You (pl.),You applied changes,hewe cêbacê kirin,ھەوە جێباجێ كرن
Apply Changes,Past,They,They applied changes,ewan cêbacê kirin,ئەوان جێباجێ كرن
Apply Changes,Present,I,I apply changes,ez cêbacê di kem,ئەز جێباجێ د كەم
Apply Changes,Present,You,You apply changes,tu cêbacê di key,تو جێباجێ د كەی
Apply Changes,Present,He/She,He/She applies changes,ew cêbacê di ket,ئەو جێباجێ د كەت
Apply Changes,Present,We,We apply changes,em cêbacê di keyn,ئەم جێباجێ د كەین
Apply Changes,Present,You (pl.),You apply changes,hîn cêbacê di ken,ھین جێباجێ د كەن
Apply Changes,Present,They,They apply changes,ew cêbacê di ken,ئەو جێباجێ د كەن
Apply Changes,Future,I,I will apply changes,ez dê cêbacê kem,ئەز دێ جێباجێ كەم
Apply Changes,Future,You,You will apply changes,tu dê cêbacê key,تو دێ جێباجێ كەی
Apply Changes,Future,He/She,He/She will apply changes,ew dê cêbacê ket,ئەو دێ جێباجێ كەت
Apply Changes,Future,We,We will apply changes,em dê cêbacê keyn,ئەم دێ جێباجێ كەین
Apply Changes,Future,You (pl.),You will apply changes,hîn dê cêbacê ken,ھین دێ جێباجێ كەن
Apply Changes,Future,They,They will apply changes,ew dê cêbacê ken,ئەو دێ جێباجێ كەن
Approve,Past,I,I approved,min mwafeqe (li ser OW) kir,من موافەقە كر
Approve,Past,You,You approved,te mwafeqe (li ser OW) kir,تە موافەقە كر
Approve,Past,He/She,He/She approved,ewî/ewê mwafeqe (li ser OW) kir,ئەوی/ئەوێ موافەقە كر
Approve,Past,We,We approved,me mwafeqe (li ser OW) kir,مە موافەقە كر
Approve,Past,You (pl.),You approved,hewe mwafeqe (li ser OW) kir,ھەوە موافەقە كر
Approve,Past,They,They approved,ewan mwafeqe (li ser OW) kir,ئەوان موافەقە كر
Approve,Present,I,I approve,ez mwafeqê (li ser OW) di kem,ئەز موافەقێ د كەم
Approve,Present,You,You approve,tu mwafeqê (li ser OW) di key,تو موافەقێ د كەی
Approve,Present,He/She,He/She approves,ew mwafeqê (li ser OW) di ket,ئەو موافەقێ د كەت
Approve,Present,We,We approve,em mwafeqê (li ser OW) di keyn,ئەم موافەقێ د كەین
Approve,Present,You (pl.),You approve,hîn mwafeqê (li ser OW) di ken,ھین موافەقێ د كەن
Approve,Present,They,They approve,ew mwafeqê (li ser OW) di ken,ئەو موافەقێ د كەن
Approve,Future,I,I will approve,ez dê mwafeqê (li ser OW) kem,ئەز دێ موافەقێ كەم
Approve,Future,You,You will approve,tu dê mwafeqê (li ser OW) key,تو دێ موافەقێ كەی
Approve,Future,He/She,He/She will approve,ew dê mwafeqê (li ser OW) ket,ئەو دێ موافەقێ كەت
Approve,Future,We,We will approve,em dê mwafeqê (li ser OW) keyn,ئەم دێ موافەقێ كەین
Approve,Future,You (pl.),You will approve,hîn dê mwafeqê (li ser OW) ken,ھین دێ موافەقێ كەن
Approve,Future,They,They will approve,ew dê mwafeqê (li ser OW) ken,ئەو دێ موافەقێ كەن
Argue,Past,I,I argued,min şerî kir,من شەری كر
Argue,Past,You,You argued,te şerî kir,تە شەری كر
Argue,Past,He/She,He/She argued,ewî/ewê şerî kir,ئەوی/ئەوێ شەری كر
Argue,Past,We,We argued,me şerî kir,مە شەری كر
Argue,Past,You (pl.),You argued,hewe şerî kir,ھەوە شەری كر
Argue,Past,They,They argued,ewan şerî kir,ئەوان شەری كر
Argue,Present,I,I argue,ez şerî di kem,ئەز شەری د كەم
Argue,Present,You,You argue,tu şerî di key,تو شەری د كەی
Argue,Present,He/She,He/She argues,ew şerî di ket,ئەو شەری د كەت
Argue,Present,We,We argue,em şerî di keyn,ئەم شەری د كەین
Argue,Present,You (pl.),You argue,hîn şerî di ken,ھین شەری د كەن
Argue,Present,They,They argue,ew şerî di ken,ئەو شەری د كەن
Argue,Future,I,I will argue,ez dê şerî kem,ئەز دێ شەری كەم
Argue,Future,You,You will argue,tu dê şerî key,تو دێ شەری كەی
Argue,Future,He/She,He/She will argue,ew dê şerî ket,ئەو دێ شەری كەت
Argue,Future,We,We will argue,em dê şerî keyn,ئەم دێ شەری كەین
Argue,Future,You (pl.),You will argue,hîn dê şerî ken,ھین دێ شەری كەن
Argue,Future,They,They will argue,ew dê şerî ken,ئەو دێ شەری كەن
Arrest,Past,I,I arrested, ez girtim,ئەز گرتم
Arrest,Past,You,You arrested, tu girtî,تو گرتی
Arrest,Past,He/She,He/She arrested, ew girt,ئەو گرت
Arrest,Past,We,We arrested, em girtîn,ئەم گرتین
Arrest,Past,You (pl.),You arrested, hîn girtin,ھین گرتن
Arrest,Past,They,They arrested, ew girtin,ئەو گرتن
Arrest,Present,I,I arrest,ez  di girim,ئەز د گرم
Arrest,Present,You,You arrest,tu  di girî,تو د گری
Arrest,Present,He/She,He/She arrests,ew  di girit,ئەو د گریت
Arrest,Present,We,We arrest,em  di girîn,ئەم د گرین
Arrest,Present,You (pl.),You arrest,hîn  di girin,ھین د گرن
Arrest,Present,They,They arrest,ew  di girin,ئەو د گرن
Arrest,Future,I,I will arrest,ez dê  girim,ئەز دێ گرم
Arrest,Future,You,You will arrest,tu dê  girî,تو دێ گری
Arrest,Future,He/She,He/She will arrest,ew dê  girit,ئەو دێ گریت
Arrest,Future,We,We will arrest,em dê  girîn,ئەم دێ گرین
Arrest,Future,You (pl.),You will arrest,hîn dê  girin,ھین دێ گرن
Arrest,Future,They,They will arrest,ew dê  girin,ئەو دێ گرن
Arrive,Past,I,I arrived,ez gehiştim,ئەز گەھشتم
Arrive,Past,You,You arrived,tu gehiştî,تو گەھشتی
Arrive,Past,He/She,He/She arrived,ew gehişt,ئەو گەھشت
Arrive,Past,We,We arrived,em gehiştîn,ئەم گەھشتین
Arrive,Past,You (pl.),You arrived,hîn gehiştin,ھین گەھشتن
Arrive,Past,They,They arrived,ew gehiştin,ئەو گەھشتن
Arrive,Present,I,I arrive,ez di gehim,ئەز د گەھم
Arrive,Present,You,You arrive,tu di gehî,تو د گەھی
Arrive,Present,He/She,He/She arrives,ew di gehit,ئەو د گەھیت
Arrive,Present,We,We arrive,em di gehîn,ئەم د گەھین
Arrive,Present,You (pl.),You arrive,hîn di gehin,ھین د گەھن
Arrive,Present,They,They arrive,ew di gehin,ئەو د گەھن
Arrive,Future,I,I will arrive,ez dê gehim,ئەز دێ گەھم
Arrive,Future,You,You will arrive,tu dê gehî,تو دێ گەھی
Arrive,Future,He/She,He/She will arrive,ew dê gehit,ئەو دێ گەھیت
Arrive,Future,We,We will arrive,em dê gehîn,ئەم دێ گەھین
Arrive,Future,You (pl.),You will arrive,hîn dê gehin,ھین دێ گەھن
Arrive,Future,They,They will arrive,ew dê gehin,ئەو دێ گەھن
Ask,Past,I,I asked,min pisîyar  kir,من پسییار كر
Ask,Past,You,You asked,te pisîyar  kir,تە پسییار كر
Ask,Past,He/She,He/She asked,ewî/ewê pisîyar  kir,ئەوی/ئەوێ پسییار كر
Ask,Past,We,We asked,me pisîyar  kir,مە پسییار كر
Ask,Past,You (pl.),You asked,hewe pisîyar  kir,ھەوە پسییار كر
Ask,Past,They,They asked,ewan pisîyar  kir,ئەوان پسییار كر
Ask,Present,I,I ask,ez pisîyar  di kem,ئەز پسییار د كەم
Ask,Present,You,You ask,tu pisîyar  di key,تو پسییار د كەی
Ask,Present,He/She,He/She asks,ew pisîyar  di ket,ئەو پسییار د كەت
Ask,Present,We,We ask,em pisîyar  di keyn,ئەم پسییار د كەین
Ask,Present,You (pl.),You ask,hîn pisîyar  di ken,ھین پسییار د كەن
Ask,Present,They,They ask,ew pisîyar  di ken,ئەو پسییار د كەن
Ask,Future,I,I will ask,ez dê pisîyar  kem,ئەز دێ پسییار كەم
Ask,Future,You,You will ask,tu dê pisîyar  key,تو دێ پسییار كەی
Ask,Future,He/She,He/She will ask,ew dê pisîyar  ket,ئەو دێ پسییار كەت
Ask,Future,We,We will ask,em dê pisîyar  keyn,ئەم دێ پسییار كەین
Ask,Future,You (pl.),You will ask,hîn dê pisîyar  ken,ھین دێ پسییار كەن
Ask,Future,They,They will ask,ew dê pisîyar  ken,ئەو دێ پسییار كەن
Assassinate,Past,I,I assassinated, ez i''tyal kirim,ئەز ئغتیال كرم
Assassinate,Past,You,You assassinated, tu i''tyal kirî,تو ئغتیال كری
Assassinate,Past,He/She,He/She assassinated, ew i''tyal kir,ئەو ئغتیال كر
Assassinate,Past,We,We assassinated, em i''tyal kirîn,ئەم ئغتیال كرین
Assassinate,Past,You (pl.),You assassinated, hîn i''tyal kirin,ھین ئغتیال كرن
Assassinate,Past,They,They assassinated, ew i''tyal kirin,ئەو ئغتیال كرن
Assassinate,Present,I,I assassinate,ez  i''tyal di kem,ئەز ئغتیال د كەم
Assassinate,Present,You,You assassinate,tu  i''tyal di key,تو ئغتیال د كەی
Assassinate,Present,He/She,He/She assassinates,ew  i''tyal di ket,ئەو ئغتیال د كەت
Assassinate,Present,We,We assassinate,em  i''tyal di keyn,ئەم ئغتیال د كەین
Assassinate,Present,You (pl.),You assassinate,hîn  i''tyal di ken,ھین ئغتیال د كەن
Assassinate,Present,They,They assassinate,ew  i''tyal di ken,ئەو ئغتیال د كەن
Assassinate,Future,I,I will assassinate,ez dê  i''tyal kem,ئەز دێ ئغتیال كەم
Assassinate,Future,You,You will assassinate,tu dê  i''tyal key,تو دێ ئغتیال كەی
Assassinate,Future,He/She,He/She will assassinate,ew dê  i''tyal ket,ئەو دێ ئغتیال كەت
Assassinate,Future,We,We will assassinate,em dê  i''tyal keyn,ئەم دێ ئغتیال كەین
Assassinate,Future,You (pl.),You will assassinate,hîn dê  i''tyal ken,ھین دێ ئغتیال كەن
Assassinate,Future,They,They will assassinate,ew dê  i''tyal ken,ئەو دێ ئغتیال كەن
Assist,Past,I,I assisted,min golek soni' kir,من گولەك سونع كر
Assist,Past,You,You assisted,te golek soni' kir,تە گولەك سونع كر
Assist,Past,He/She,He/She assisted,ewî/ewê golek soni' kir,ئەوی/ئەوێ گولەك سونع كر
Assist,Past,We,We assisted,me golek soni' kir,مە گولەك سونع كر
Assist,Past,You (pl.),You assisted,hewe golek soni' kir,ھەوە گولەك سونع كر
Assist,Past,They,They assisted,ewan golek soni' kir,ئەوان گولەك سونع كر
Assist,Present,I,I assist,ez golekê soni' di kem,ئەز گولەكێ سونع د كەم
Assist,Present,You,You assist,tu golekê soni' di key,تو گولەكێ سونع د كەی
Assist,Present,He/She,He/She assists,ew golekê soni' di ket,ئەو گولەكێ سونع د كەت
Assist,Present,We,We assist,em golekê soni' di keyn,ئەم گولەكێ سونع د كەین
Assist,Present,You (pl.),You assist,hîn golekê soni' di ken,ھین گولەكێ سونع د كەن
Assist,Present,They,They assist,ew golekê soni' di ken,ئەو گولەكێ سونع د كەن
Assist,Future,I,I will assist,ez dê golekê soni' kem,ئەز دێ گولەكێ سونع كەم
Assist,Future,You,You will assist,tu dê golekê soni' key,تو دێ گولەكێ سونع كەی
Assist,Future,He/She,He/She will assist,ew dê golekê soni' ket,ئەو دێ گولەكێ سونع كەت
