English,Kurdish (Latin),Kurdish (Arabic Script),Arabic,Transliteration
deaf,guhilî nabît,گوھلی نابیت,أصم,"ker, guḧulee nabeet"
deaf mute,lal,ڵاڵ,أصم أبكم,lal
pot,qazan,قازان,أصيص,qazan
kindle,agir kirin,ئاگر کرن,أضرم,dusuzht dadudut
kindle,disujt dadidit,دسوژت داددەت,أضرم,dusuzht dadudut
kindle,hilkirina agirî,هلکرنا ئاگری,أضرم,ḧulkruna aguree
I put the pen,ez qelemî danm,ئەز قەلەمی دانم,أضع القلم,ez qelemee danm
Doctors Without Borders,dixtur bê sinur,دختور بێ سنور,أطباء بلا حدود,duxtur bê sunur
limbs,la,لا,أطرافھ,la
limb,pîlax,پیلاخ,أطرافھم,peelax
atlas,etles,ئەتلەس,أطلس,etles
boldness,wêrekî,وێره‌کی,أطمع,me
covet,çavbirçî bûn,چاڤبرچی بوون,أطمع,me
covet,dilçûn,دلچوون,أطمع,me
covet,dilê xo bin,دلێ خۆ بن,أطمع,me
marvel,ecêb,عەجێب,أعجوبة,ejêb
prepared,hazir,هازر,أعدت,ḧazur
symptom,berjeng,به‌رژه‌نگ,أعراض,berzheng
symptom,nîşan,نیشان,أعراض,neeshan
heart attack symptoms,nîşanên celta dilî,نیشانێن جه‌لتا دلی,أعراض النوبة القلبية,neeshanên jelta dulee
symptoms of heart attack,nîşanên celta dilî,نیشانێن جه‌لتا دلی,أعراض النوبة القلبية,neeshanên jelta dulee
crippled,kulek,كولەك,أعرج,klek
crippled,linger,لنگه‌ر,أعرج,lunger
lame,qup,قوپ,أعرج,qup
bachelor,bekaluriyus,بەكالوریوس,أعزب,bekaluruyus
unarmed,dest vala,دەست ڤالا,أعزل,dest vala
herbs,keskatiyên giya,که‌سکاتیێن گیا,أعشاب,keskatuyên guya
adore,dil dar diket,دل دار دکەت,أعشق,dul dar duket
give me,bide min,بدە من,أعطني,bude mun
give me a ride,dê şêyi min bigehînî?,دێ شێی من بگەھینی؟,أعطني ركوب,dê shêyu mun bugeḧeenee?
give me your bowl,sînîka xo bide min,سینیکا خۆ بدە من,أعطني وعاء الخاص بك,seeneeka xo bude mun
announce,ragehînît,ڕاگەھینیت,أعلن,rageḧeeneet
declare,diyarikir,دیاركر,أعلن,duyarukr
declare,ragehandin,ڕاگه‌هاندن,أعلن,rageḧandun
proclaim,eşkera kirin,ئه‌شکه‌را کرن,أعلن,eshkera krun
proclaim,dan bihîstin,دان بهیستن,أعلن,dan buḧeestun
proclaim,diyar kirin,دیار کرن,أعلن,duyar krun
proclaim,ragehandin,ڕاگه‌هاندن,أعلن,rageḧandun
top,gupîtik,گوپیتك,أعلى,gupeetuk
upper,"jorîn, jortir",ژۆرین، ژۆرتر,أعلى,"zhoreen, zhortur"
supreme,bala(tirîn),بالا(ترین),أعلى فائق,bala(tureen)
supreme,bilind(tirîn),بلند(ترین),أعلى فائق,bulund(tureen)
supreme,raser,ڕاسه‌ر,أعلى فائق,bala(tureen)
good works,karên çak,كارێن چاك,أعمال جيدة,karên chak
colonnade,eywan,ئه‌یوان,أعمدة,buyax duket
colonnade,karîte,کاریته‌,أعمدة,buyax duket
poles,herdû cemser,هەردوو جەمسەر,أعمدة,ḧerdû jemser
August,tebax,ته‌باخ,أغسطس,"ḧeyuva ḧeshut, tebax, meḧa 8ê"
August,meha 8ê,مه‌ها ۸ئێ,أغسطس,"ḧeyuva ḧeshut, tebax, meḧa 8ê"
August,heyiva heşit,ھەیڤا ھەشت,أغسطس,"ḧeyuva ḧeshut, tebax, meḧa 8ê"
majority,"pirîne , aẍeleb",پرینە ، ئاغەلەب,أغلبية,"pureene , aẍeleb"
majority,pirranî,پڕانی,أغلبية,purranee
close,daêxistin,دائێخستن,أغلق,daêxustun
close,dadêxit,دادئێخت,أغلق,dadêxut
close,girtin,گرتن,أغلق,gurtun
song,stiran,ستران,أغنية,sturan
bird's song,awaz xwandin,ئاواز خواندن,أغنية الطيور,awaz xwandun
funeral song,velurand,ڤه‌لوراند,أغنية جنازة,velurand
betray,bêbextî lê kirin,بێبه‌ختی لێ کرن,أفشى سرا,bêbextee lê krun
betray,xiyanet kirin,خیانه‌ت کرن,أفشى سرا,xuyanet krun
betray,lê xaîn bûn,لێ خائین بوون,أفشى سرا,lê xaeen bûn
best,baştirîn,باشترین,أفضل,bashutur
best,çêtirîn,چێترین,أفضل,bashutur
best,qenctirîn,قه‌نجترین,أفضل,bashutur
better,baştir,باشتر,أفضل,chêture
better,çêtir,چێتر,أفضل,chêture
better,qenctir,قه‌نجتر,أفضل,chêture
advantage,berjewendî,به‌رژه‌وه‌ندی,أفضلية,mufa
advantage,qazanc,قازانج,أفضلية,mufa
advantage,feyde,فه‌یده‌,أفضلية,mufa
advantage,mifa,مفا,أفضلية,mufa
priority,pêşkî,پێشکی,أفضلية,pêshêtee
priority,pêşeyî,پێشه‌یی,أفضلية,pêshêtee
priority,pêşêtî,پێشێتى,أفضلية,pêshêtee
priority,fer,فه‌ر,أفضلية,pêshêtee
priority,giringtirîn tşit,گرنگترین تشت,أفضلية,gurungtureen tshut
serpent,mar,مار,أفعى,mar
poisonous snake,koremar,کوره‌مار,أفعى سامة,koremar
viper,"mar , margîsk",مار ، مارگیسک,أفعى سامة,"mar , margeesk"
Afghanistan,efẍanistan,ئەفغانستان,أفغانستان,efẍanustan
horizon,aso,ئاسۆ,أفقي,tereeb
horizontal,asuyî,ئاسویی,أفقي,tereeb
horizontal,asoyî,ئاسۆیی,أفقي,tereeb
horizontal,terîb,تەریب,أفقي,tereeb
horizontal,ne stûnî,نه‌ ستوونی,أفقي,tereeb
marbles,tebel,تەبەل,أفكار,tebel
feet,herdû pê,ھەردوو پێ,أقدام,ḧerdû pê
swear,swînd,سویند,أقسم,sweend
extreme,tundrew,توندرەو,أقصى,tundrew
maximum,pitirîn,پترین,أقصى,putureen
maximum,mezin,مەزن,أقصى,mezun
less,piçektir,پچه‌کتر,أقل,suvuk duket
less,sivik diket,سڤك دكەت,أقل,suvuk duket
less,kêmtir,کێمتر,أقل,suvuk duket
less,hindiktir,هندکتر,أقل,suvuk duket
peck,kun diket,كون دكەت,أقلق,kn duket
minority,kêmayetî,كێمایەتى,أقلية,kêmayetee
tell,baḧis kirin,باحس کرن,أقول,baḧus krun
tell,vegotin,ڤه‌گۆتن,أقول,vegotun
tell,gotin,گۆتن,أقول,gotun
telling,vegotin,ڤه‌گۆتن,أقول,vegotun
academic,zana,زانا,أكاديمي,zana
bigger,mezintir,مەزنتر,أكبر,mezuntur
write,nivêsandin,نڤێساندن,أكتب,nuvêsandun
more,pitir,پتر,أكثر,putur
more,dîtir,دیتر,أكثر,deetur
the most,herî,هه‌ری,أكثر,ḧeree
flatter,salwîsî kirin,سالویسی کرن,أكثر تسطحا,lu ser
oxygen,ukiscîn,ئوكسجین,أكسجين,uksjeen
eat,xarin,خارن,أكل,xarun
be faithful,"rêz girîtin , qaym kirin",رێز گریتن ، قایم کرن,أكون مخلصا,"rêz gureetun , qaym krun"
I be with you,ez yê digel te,ئەز یێ دگەل تە,أكون معك,ez yê dugel te
"1,000",hezar,١٠٠٠ ، ھەزار,ألف,ḧezar
thousand,hezar,هه‌زار,ألف,ḧezar
"2,500",dû hezar pênc sad,٢٥٠٠ ، دوو ھەزار پێنج ساد,ألفين و خمسة مائة,ḧezar
throw down,herrifandin,هه‌ڕفاندن,ألقى,ḧerrufandun
ache,êşan,ئێشان,ألم,"du êshut , êshan"
ache,di êşit,دئێشت,ألم,"du êshut , êshan"
pain,ezyet,ئه‌زیه‌ت,ألم,"êsh , ne xoshee"
pain,êş,ئێش,ألم,"êsh , ne xoshee"
pain,nexoşî,نەخۆشی,ألم,"êsh , ne xoshee"
pang,êş,ئێش,ألم,êsh
dental pain,êşa didanî,ئێشا ددانی,ألم أسنان,êsha dudanee
Sore throat,êşa ḧefkê,ئێشا حه‌فكێ,ألم الحلق,êsha ḧefkê
stomachache,êşana m'îdê,ئێشانا معیدێ,ألم المعدة,êshana m'eedê
pain in chest,êşa sîngî,ئێشا سینگی,ألم في الصدر,êsha seengee
Back ache,pişit êşan,پشت ئێشان,ألم في الظهر,pushut êshan
Germany,almaniya,ئالمانیا,ألمانيا,almanuya
inspire,siruş diket,سروش دكەت,ألھم,surush duket
mammy,dayk,دایك,أم,dayk
mother,dayk,دایك,أم,dayk
parking space,cihê seyarê,جھێ سەیارێ,أماكن لوقوف السيارات,jḧê seyarê
honesty,destpakî,ده‌ستپاکی,أمانة,"rastubêzhee , rastgoyee"
honesty,"rastibêjî , rastgoyî",ڕاستبێژی ، ڕاستگۆیی,أمانة,"rastubêzhee , rastgoyee"
luggage,kel û pelên seferê,كەل و پەلێن سەفەرێ,أمتعة,kel û pelên seferê
command,raspardin,ڕاسپاردن,أمر,feruman dudet
command,ferman kirin,فه‌رمان کرن,أمر,feruman dudet
command,feriman didet,فەرمان ددەت,أمر,feruman dudet
yesterday,"duhî, duh",دوهی، دوھ,أمس,"duḧee, duḧ"
bowel,riwîvîk,رویڤیك,أمعاء,ruweeveek
circuit,çerx,چه‌رخ,أمل,ḧeevee
hope,umêd,ئومێد,أمل,ḧeevee
hope,omêd,ئۆمێد,أمل,ḧeevee
hope,hîvî,ھیڤی,أمل,ḧeevee
rotation,çerx,چه‌رخ,أمل,ḧeevee
security,asayiş,ئاسایش,أمن,asayush
security,emin,ئه‌من,أمن,emun
object,berikar,بە‌رکار,أمور,berukar
object,tşit,تشت,أمور,tshut
maternity,daykayetî,دایكایەتى,أمومة,daykayetee
motherhood,daykayetî,دایكایەتى,أمومة,daykayetee
maternal,daykî,دایكى,أمومية,daykee
illiterate,umî,عومی,أمي,umee
illiterate,nexwandewar,نەخواندەوار,أمي,nexwandewar
prince,emîr,ئه‌میر,أمير,emeer
prince,mîr,میر,أمير,meer
princess,emîre,ئەمیرە,أميرة,emeere
princess,dotmîr,دۆتمیر,أميرة,dotmeer
princess,keçmîr,که‌چمیر,أميرة,kechmeer
cashier,kaşêr,كاشێر,أمين الصندوق,kashêr
librarian,kitêbixanevan,كەتێبخانەڤان,أمين المكتبة,ktêbuxanevan
It itches,dixwirît,دخوریت,أن,duxwureet
that,"ew , ewe",ئه‌و ، ئه‌وه,أن,"ew , ewe , wee , ewee , ye , yê"
that,"ewî , ye",ئه‌وی ، یه,أن,"ew , ewe , wee , ewee , ye , yê"
that,da,دا,أن,da
that,ku,کو,أن,k
that,hen,هه‌ن,أن,da
that,wî,وی,أن,"ew , ewe , wee , ewee , ye , yê"
that,yê,یێ,أن,"ew , ewe , wee , ewee , ye , yê"
that which,ewa,ئه‌وا,أن,ewa
be harvested,dirîtin,دریتن,أن تحصد,dureetun
be devastated,wêran kirin,وێران کرن,أن تدمر,wêran krun
be equipped,amade birin,ئامادە برن,أن تكون مجھزة,amade burun
be hopeful,hîvîdar bîn,ھیڤیدار بین,أن يكون المرشح,ḧeeveedar been
be born,xudê dan,خودێ دان,أن يولد,xudê dan
I,ez,ئەز,أنا,ez
I (oblique),min,من,أنا,mun
i.d. card,"cinsî , hewî",جنسی ، هەوی,أنا,"jnsee , ḧewee"
I need you,ez pêtibî te me,ئەز پێتڤی تە مە,أنا أحتاجك,ez pêtubee te me
I shake your hand,min destê te hejand,من دەستێ تە ھەژاند,أنا أهز یدك,mun destê te ḧezhand
I pick up the pen,ez qelemî ledkem,ئەز قەلەمی لەدکەم,أنا التقط القلم,ez qelemee ledkem
I'm fine,ezê başim,ئەزێ باشم,أنا بخير,ezê bashum
I don’t want to talk to you,ez te sil dibim,ئەز تە سل دبم,أنا لا أريد أن أتحدث إليكم,ez te sul dubum
I don't know Kurdish,ez Kurdyê na zanim,ئەز كوردی نا زانم,أنا لا أعرف الكردي,ez krdyê na zanum
I don't understand,ez tê na gehim,ئەز تێ نا گەھم,أنا لا أفھم,ez tê na geḧum
I never change my mind,ez qet(ç cara) hzira xo naguhrm,ئەز قەت(چ جارا) ھزرا خۆ ناگوھرم,أنا لم أغير رأيي,ez qet(ch jara) ḧzura xo naguḧrm
I didn't understand,ez tê na gehiştim,ئەز تێ نە گەھشتم,أنا لم أفھم,ez tê na geḧushtum
I am so pessimistic,ez gelek reşibînim,ئەز گەلەك رەشبینم,أنا متشائم جدا,ez gelek reshubeenum
I am tired,ez westiyam,ئەز وەستیام,أنا متعب,ez westuyam
I am so optimistic,ez gelek geşibînim,ئەز گەلەك گەشبینم,أنا متفائل جدا,ez gelek geshubeenum
